;this is a comment
;i love comments

+&B00 King's Pawn:          1.e4!!
+&C20 Open Game:            1.e4!! e5!!
+&C40 King's Knight:        1.e4!! e5!! 2.Nf3!!
+&C44 King's pawn game:     1.e4!! e5!! 2.Nf3!! Nc6!!
+C60 Ruy Lopez:             1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5!
+Morphy DEF:                1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6!
+C70 Columbus VAR:          1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4!
+C77 Morphy DEF:            1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4! Nf6!
+C78 Ruy Lopez, 5.O-O:      1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4! Nf6! 5.O-O!
+C80 Tarrasch DEF:          1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4! Nf6! 5.O-O! Nxe4!
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4! Nf6! 5.O-O! Nxe4! 6.d4! b5! 7.Bb3! d5! 8.dxe5! Be6! 9.c3! Be7! 10.Re1! 0-0! 11.h3! Re8! 12.Bc2! Bf5! 13.Nbd2! Bg6! 14.Kf1! Nc5! 15.Bxg6! hxg6! 16.Nb3! Ne6! 17.Qd3! Qd7! 18.Be3! Ncd8! 19.Red1! c6! 20.Kg1! Nf8! 21.Nc5! Qc8! 22.a4! Bxc5! 23.Bxc5! Nd7! 24.Bd4! Ne6! 25.b4! Qc7! 26.Ra2! c5! 27.Be3! cxb4! 28.cxb4! Nxe5! 29.Nxe5! d4! 30.Bxd4! Nxd4! 31.Qxd4! Rxe5! 32.Qd6! Qxd6! 33.Rxd6! a5! 34.axb5! Rxb5! 35.Rxa5! Rbxa5! 36.bxa5! Rxa5! 37.Rd8+! Kh7! 38.Rb8! Rc5! 39.Ra8! Rc1+! 40.Kh2! g5! 41.Ra5! f6! 42.g3! Rc2! 43.Kg2! Rc6!
C79 Russian DEF:            1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4! Nf6! 5.O-O! d6
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4! Nf6! 5.O-O! d6 6.Re1!
Filler:                     1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4! Nf6! 5.O-O! Be7
C89 Marshall counter-ATK:   1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4! Nf6! 5.O-O! Be7 6.Re1! b5! 7.Bb3! 0-0 8.c3! d5
Filler:                     1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4! b5
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4! b5 5.Bb3! Nf6!
C70 Ruy Lopez, Graz VAR:    1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4! b5 5.Bb3! Bc5
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bb5! a6! 4.Ba4! b5 5.Bb3! Bc5 6.c3!
C50 Italian Game:           1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4
+Giuoco Piano:              1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Bc5!
+C53 Giuoco Piano:          1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Bc5! 4.c3!
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Bc5! 4.c3! Nf6! 5.b4!
Filler:                     1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Bc5! 4.c3! Nf6! 5.d4
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Bc5! 4.c3! Nf6! 5.d4 exd4! 6.e5!
C54 Giuoco Piano:           1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Bc5! 4.c3! Nf6! 5.d4 exd4! 6.cxd4
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Bc5! 4.c3! Nf6! 5.d4 exd4! 6.cxd4 Bb4+!
Evan's GBT:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Bc5! 4.b4
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Bc5! 4.b4 Bxb4! 5.c3! Be7!
C52 Evan's GBT:             1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Bc5! 4.b4 Bxb4! 5.c3! Ba5
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Bc5! 4.b4 Bxb4! 5.c3! Ba5 6.d4!
Rousseau GBT:               1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 f5
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 f5 4.d4!
C55 Two Knights DEF:        1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Nf6
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Bc4 Nf6 4.Ng5!
Scotch Game:                1.e4!! e5!! 2.Nf3!! Nc6!! 3.d4
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.d4 exd4!
&QuickHint9K:               1.e4!! e5!! 2.Nf3!! Nc6!! 3.Nc3
+Four Knights Game:         1.e4!! e5!! 2.Nf3!! Nc6!! 3.Nc3 Nf6!
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Nc3 Nf6! 4.Bb5!
Filler:                     1.e4!! e5!! 2.Nf3!! Nc6!! 3.Nc3 Nf6! 4.d4
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Nc3 Nf6! 4.d4 exd4! 5.Nxd4!
Belgrade GBT:               1.e4!! e5!! 2.Nf3!! Nc6!! 3.Nc3 Nf6! 4.d4 exd4! 5.Nd5
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.Nc3 Nf6! 4.d4 exd4! 5.Nd5 Be7!
Ponziani OPN:               1.e4!! e5!! 2.Nf3!! Nc6!! 3.c3
+Stockfish:                 1.e4!! e5!! 2.Nf3!! Nc6!! 3.c3 Nf6
C40 Latvian GBT:            1.e4!! e5!! 2.Nf3!! f5
+Stockfish:                 1.e4!! e5!! 2.Nf3!! f5 3.Nxe5!
C41 Philidor's DEF:         1.e4!! e5!! 2.Nf3!! d6
+Stockfish:                 1.e4!! e5!! 2.Nf3!! d6 3.d4!
King's GBT:                 1.e4!! e5!! 2.f4
+King's GBT Accepted:       1.e4!! e5!! 2.f4 exf4!
+King's Knight's GBT:       1.e4!! e5!! 2.f4 exf4! 3.Nf3!
+Stockfish:                 1.e4!! e5!! 2.f4 exf4! 3.Nf3! Be7!
B20 Sicilian DEF:           1.e4!! c5
+B27 Sicilian DEF:          1.e4!! c5 2.Nf3!
+B40 Sicilian DEF:          1.e4!! c5 2.Nf3! e6!
+Open Sicilian:             1.e4!! c5 2.Nf3! e6! 3.d4!
+C40 Anderssen VAR:         1.e4!! c5 2.Nf3! e6! 3.d4! cxd4! 4.Nxd4! Nf6!
+Stockfish:                 1.e4!! c5 2.Nf3! e6! 3.d4! cxd4! 4.Nxd4! Nf6! 5.Nc3!
B30 Sicilian DEF:           1.e4!! c5 2.Nf3! Nc6
+B32 Open Sicilian:         1.e4!! c5 2.Nf3! Nc6 3.d4!
+Stockfish:                 1.e4!! c5 2.Nf3! Nc6 3.d4! cxd4!
&B23 Sicilian closed:       1.e4!! c5 2.Nc3
C00 French DEF:             1.e4!! e6
+C00 French DEF:            1.e4!! e6 2.d4!
+C11 French DEF:            1.e4!! e6 2.d4! d5! 3.Nc3! Nf6!
+Stockfish:                 1.e4!! e6 2.d4! d5! 3.Nc3! Nf6! 4.e5!
B10 Caro-Kann DEF:          1.e4!! c6
+B12 Caro-Kann DEF:         1.e4!! c6 2.d4!
+B12 Caro-Kann DEF:         1.e4!! c6 2.d4! d5!
+Stockfish:                 1.e4!! c6 2.d4! d5! 3.e5! Bf5! 4.Nf3!! e6! 5.Be2! c5!
Pirc DEF:                   1.e4!! d6
+B07 Pirc DEF:              1.e4!! d6 2.d4! Nf6! 3.Nc3!
+Stockfish:                 1.e4!! d6 2.d4! Nf6! 3.Nc3! e5!
Filler:                     1.e4!! d6 2.d4! Nf6! 3.Nc3! g6
+Stockfish:                 1.e4!! d6 2.d4! Nf6! 3.Nc3! g6 4.Bg5!
B08 Pirc system:            1.e4!! d6 2.d4! Nf6! 3.Nc3! g6 4.Nf3
+Stockfish:                 1.e4!! d6 2.d4! Nf6! 3.Nc3! g6 4.Nf3 Bg7!
Filler:                     1.e4!! d6 2.d4! Nf6! 3.Nc3! g6 4.f4
+Austrian ATK:              1.e4!! d6 2.d4! Nf6! 3.Nc3! g6 4.f4 Bg7!
Balogh DEF:                 1.e4!! d6 2.d4! f5
+Stockfish:                 1.e4!! d6 2.d4! f5 3.Nc3!
B01 Scandinavian DEF:       1.e4!! d5
+Stockfish:                 1.e4!! d5 2.exd5!
B06 Robatsch DEF:           1.e4!! g6
+Stockfish:                 1.e4!! g6 2.d4!
B02 Alekhine's DEF:         1.e4!! Nf6
+B03 Alekhine's DEF:        1.e4!! Nf6 2.e5! Nd5! 3.d4!
Four Pawns ATK:             1.e4!! Nf6 2.e5! Nd5! 3.d4! d6! 4.c4! Nb6 5.f4
+Stockfish:                 1.e4!! Nf6 2.e5! Nd5! 3.d4! d6! 4.c4! Nb6 5.f4 dxe5!
B04 Alekhine's MOD:         1.e4!! Nf6 2.e5! Nd5! 3.d4! d6! 4.Nf3
+Stockfish:                 1.e4!! Nf6 2.e5! Nd5! 3.d4! d6! 4.Nf3 dxe5!
B05 Alekhine's MOD:         1.e4!! Nf6 2.e5! Nd5! 3.d4! d6! 4.Nf3 Bg4
+Stockfish:                 1.e4!! Nf6 2.e5! Nd5! 3.d4! d6! 4.Nf3 Bg4 5.Be2!
B00 Nimzowitsch DEF:        1.e4!! Nc6
+Stockfish:                 1.e4!! Nc6 2.d4!
+Stockfish:                 1.e4!! Nc6 2.Nf3 e5!
B00 Colorado GBT:           1.e4!! Nc6 2.Nf3 f5
+Stockfish:                 1.e4!! Nc6 2.Nf3 f5 3.exf5!
B00 Owen's DEF:             1.e4!! b6
+Stockfish:                 1.e4!! b6 2.d4! Bb7!
St. George DEF:             1.e4!! a6
